,user,#_messages,#_messages_as_percentage_of_total,mean,time_delta,programming_language
1538,Amets,12,1.5944360559391945e-06,1.0,245 days 05:28:11.923000,python
1539,Ami,7,9.300876992978635e-07,0.5833333333333334,22 days 12:39:28.781000,python
1540,Amia,10,1.3286967132826622e-06,0.8333333333333334,48 days 21:42:10.463000,python
1541,Amiah,169,2.245497445447699e-05,14.083333333333334,265 days 02:53:10.575000,python
1542,Amias,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1543,Amiaz,4,5.314786853130648e-07,0.3333333333333333,0 days 00:01:33.336000,python
1544,Amichai,5,6.643483566413311e-07,0.4166666666666667,0 days 00:20:35.694000,python
1545,Amier,5,6.643483566413311e-07,0.4166666666666667,0 days 00:02:09.687000,python
1546,Amiira,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:07.172000,python
1547,Amil,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1548,Amila,32,4.251829482504519e-06,2.6666666666666665,3 days 12:58:55.354000,python
1549,Amilah,34,4.517568825161051e-06,2.8333333333333335,13 days 15:46:30.440000,python
1550,Amilcar,16,2.1259147412522594e-06,1.3333333333333333,21 days 17:20:50.486000,python
1551,Amilia,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1552,Amiliah,13,1.7273057272674607e-06,1.0833333333333333,16 days 02:02:43.407000,python
1553,Amiliana,10,1.3286967132826622e-06,0.8333333333333334,0 days 00:05:02.119000,python
1554,Amiliyah,6,7.972180279695973e-07,0.5,0 days 00:27:59.846000,python
1555,Amilla,67,8.902267978993837e-06,5.583333333333333,21 days 19:43:41.030000,python
1556,Amilli,9,1.1958270419543959e-06,0.75,19 days 23:16:22.641000,python
1557,Amilliah,6,7.972180279695973e-07,0.5,0 days 00:07:22.230000,python
1558,Amillian,13,1.7273057272674607e-06,1.0833333333333333,13 days 06:08:05.934000,python
1559,Amilliana,406,5.394508655927608e-05,33.833333333333336,22 days 02:02:09.593000,python
1560,Amillianna,3,3.9860901398479863e-07,0.25,0 days 00:01:41.443000,python
1561,Amillie,20,2.6573934265653244e-06,1.6666666666666667,0 days 14:32:06.948000,python
1562,Amillio,2,2.657393426565324e-07,0.16666666666666666,11 days 02:21:54.371000,python
1563,Amilyah,3,3.9860901398479863e-07,0.25,10 days 18:30:07.185000,python
1564,Amin,32,4.251829482504519e-06,2.6666666666666665,88 days 10:01:12.147000,python
1565,Aminata,93,1.2356879433528758e-05,7.75,28 days 17:04:21.412000,python
1566,Amine,10,1.3286967132826622e-06,0.8333333333333334,0 days 07:25:18.316000,python
1567,Aminul,29,3.85322046851972e-06,2.4166666666666665,7 days 05:58:30.144000,python
1568,Amir,107,1.4217054832124485e-05,8.916666666666666,59 days 23:41:17.016000,python
1569,Amira,10,1.3286967132826622e-06,0.8333333333333334,0 days 00:03:18.670000,python
1570,Amirah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1571,Amiran,10,1.3286967132826622e-06,0.8333333333333334,2 days 02:21:17.176000,python
1572,Amire,9,1.1958270419543959e-06,0.75,3 days 23:04:44.418000,python
1573,Amiri,191,2.5378107223698846e-05,15.916666666666666,113 days 00:47:22.744000,python
1574,Amiriah,34,4.517568825161051e-06,2.8333333333333335,85 days 07:05:20.432000,python
1575,Amiris,49,6.510613895085045e-06,4.083333333333333,258 days 15:56:35.164000,python
1576,Amirrah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:34.035000,python
1577,Amirya,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1578,Amirykal,23,3.056002440550123e-06,1.9166666666666667,154 days 12:59:07.462000,python
1579,Amisadai,50,6.6434835664133105e-06,4.166666666666667,350 days 15:58:08.781000,python
1580,Amisha,2,2.657393426565324e-07,0.16666666666666666,0 days 00:07:35.230000,python
1581,Amit,140,1.860175398595727e-05,11.666666666666666,79 days 06:10:22.760000,python
1582,Amity,44,5.8462655384437135e-06,3.6666666666666665,140 days 08:26:30.723000,python
1583,Amius,17,2.2587844125805255e-06,1.4166666666666667,284 days 12:01:38.206000,python
1584,Amiyah,19,2.5245237552370583e-06,1.5833333333333333,34 days 01:39:30.663000,python
1585,Amiyas,3,3.9860901398479863e-07,0.25,0 days 00:04:12.387000,python
1586,Amiyla,27,3.587481125863188e-06,2.25,71 days 16:38:19.925000,python
1587,Amiylah,20,2.6573934265653244e-06,1.6666666666666667,6 days 23:54:37.337000,python
1588,Amiyra,3,3.9860901398479863e-07,0.25,56 days 12:07:17.988000,python
1589,Amjad,555,7.374266758718775e-05,46.25,196 days 07:10:21.734000,python
1590,Ammaar,13,1.7273057272674607e-06,1.0833333333333333,0 days 00:06:27.923000,python
1591,Ammar,20,2.6573934265653244e-06,1.6666666666666667,48 days 09:13:30.659000,python
1592,Ammarah,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:49.579000,python
1593,Amner,3,3.9860901398479863e-07,0.25,0 days 00:03:23.368000,python
1594,Amoi,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1595,Amon,2,2.657393426565324e-07,0.16666666666666666,65 days 19:35:01.611000,python
1596,Amoni,24,3.188872111878389e-06,2.0,90 days 12:36:38.941000,python
1597,Amonie,765,0.00010164529856612365,63.75,42 days 16:08:18.320000,python
1598,Amonte,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1599,Amorae,11,1.4615663846109284e-06,0.9166666666666666,1 days 18:58:55.953000,python
1600,Amorah,280,3.720350797191454e-05,23.333333333333332,16 days 03:04:42.225000,python
1601,Amore,4,5.314786853130648e-07,0.3333333333333333,302 days 00:47:26.101000,python
1602,Amorea,6,7.972180279695973e-07,0.5,133 days 15:51:13.299000,python
1603,Amoret,25,3.3217417832066552e-06,2.0833333333333335,0 days 01:21:17.831000,python
1604,Amorette,7,9.300876992978635e-07,0.5833333333333334,3 days 00:08:06.951000,python
1605,Amorra,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1606,Amoura,17,2.2587844125805255e-06,1.4166666666666667,110 days 12:40:40.016000,python
1607,Amoure,81,1.0762443377589563e-05,6.75,37 days 04:29:21.468000,python
1608,Amouri,51,6.776353237741577e-06,4.25,95 days 16:04:43.729000,python
1609,Amoya,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:06.821000,python
1610,Ampelio,14,1.860175398595727e-06,1.1666666666666667,1 days 20:54:29.593000,python
1611,Amr,67,8.902267978993837e-06,5.583333333333333,25 days 11:10:16.929000,python
1612,Amra,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:48.285000,python
1613,Amran,17,2.2587844125805255e-06,1.4166666666666667,277 days 19:01:52.661000,python
1614,Amri,100,1.3286967132826621e-05,8.333333333333334,154 days 21:41:07.664000,python
1615,Amritpal,7,9.300876992978635e-07,0.5833333333333334,0 days 00:03:54.303000,python
1616,Amrom,41,5.447656524458915e-06,3.4166666666666665,208 days 12:19:24.717000,python
1617,Amrutha,12,1.5944360559391945e-06,1.0,12 days 23:39:05.483000,python
1618,Amry,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1619,Amsatou,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:22.876000,python
1620,Amulya,2,2.657393426565324e-07,0.16666666666666666,77 days 18:02:17.563000,python
1621,Amun,3,3.9860901398479863e-07,0.25,0 days 04:15:40.797000,python
1622,Amunet,11,1.4615663846109284e-06,0.9166666666666666,0 days 21:56:52.882000,python
1623,Amunra,2,2.657393426565324e-07,0.16666666666666666,0 days 00:06:18.797000,python
1624,Amyah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1625,Amyla,19,2.5245237552370583e-06,1.5833333333333333,195 days 01:04:47.677000,python
1626,Amylah,20,2.6573934265653244e-06,1.6666666666666667,116 days 02:25:42.703000,python
1627,Amyliah,2,2.657393426565324e-07,0.16666666666666666,44 days 14:28:51.979000,python
1628,Amynah,356,4.7301602992862774e-05,29.666666666666668,364 days 23:21:17.160000,python
1629,Amyracle,3,3.9860901398479863e-07,0.25,0 days 00:02:33.603000,python
1630,Amyri,50,6.6434835664133105e-06,4.166666666666667,212 days 23:58:15.709000,python
1631,Amzi,2,2.657393426565324e-07,0.16666666666666666,0 days 00:07:36.564000,python
1632,Amzie,4,5.314786853130648e-07,0.3333333333333333,34 days 05:00:03.851000,python
1633,An,23,3.056002440550123e-06,1.9166666666666667,5 days 01:58:31.035000,python
1634,Ana,10,1.3286967132826622e-06,0.8333333333333334,0 days 03:12:50.856000,python
1635,Anaaya,29,3.85322046851972e-06,2.4166666666666665,194 days 19:47:02.771000,python
1636,Anabela,11,1.4615663846109284e-06,0.9166666666666666,62 days 16:01:57.438000,python
1637,Anabell,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1638,Anabella,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:18.506000,python
1639,Anabelle,643,8.543519866407518e-05,53.583333333333336,53 days 23:30:08.676000,python
1640,Anabeth,31,4.118959811176253e-06,2.5833333333333335,0 days 00:53:45.385000,python
1641,Anabiya,16,2.1259147412522594e-06,1.3333333333333333,0 days 00:41:14.494000,python
1642,Anaceli,7,9.300876992978635e-07,0.5833333333333334,82 days 04:56:54.471000,python
1643,Anaclara,11,1.4615663846109284e-06,0.9166666666666666,35 days 21:26:47.508000,python
1644,Anacleto,59,7.839310608367706e-06,4.916666666666667,7 days 03:42:16.074000,python
1645,Anaeli,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1646,Anaelle,2,2.657393426565324e-07,0.16666666666666666,0 days 00:04:19.355000,python
1647,Anagh,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:12.493000,python
1648,Anah,5,6.643483566413311e-07,0.4166666666666667,243 days 02:59:21.839000,python
1649,Anahat,37,4.91617783914585e-06,3.0833333333333335,0 days 05:55:37.090000,python
1650,Anahi,20,2.6573934265653244e-06,1.6666666666666667,73 days 12:07:21.534000,python
1651,Anahis,5,6.643483566413311e-07,0.4166666666666667,2 days 12:02:52.850000,python
1652,Anahli,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1653,Anahy,10,1.3286967132826622e-06,0.8333333333333334,0 days 00:06:11.500000,python
1654,Anai,37,4.91617783914585e-06,3.0833333333333335,245 days 23:46:03.073000,python
1655,Anaia,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:17.448000,python
1656,Anaiah,3,3.9860901398479863e-07,0.25,1 days 11:29:13.532000,python
1657,Anaija,3,3.9860901398479863e-07,0.25,0 days 00:06:50.846000,python
1658,Anaijah,13,1.7273057272674607e-06,1.0833333333333333,31 days 11:46:01.444000,python
1659,Anaika,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:40.857000,python
1660,Anaila,39,5.181917181802382e-06,3.25,3 days 06:03:42.336000,python
1661,Anaira,42,5.580526195787181e-06,3.5,23 days 17:24:56.750000,python
1662,Anairis,4,5.314786853130648e-07,0.3333333333333333,7 days 06:22:33.663000,python
1663,Anais,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1664,Anaisha,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1665,Anaissa,8,1.0629573706261297e-06,0.6666666666666666,122 days 02:42:57.771000,python
1666,Anaitz,76,1.0098095020948233e-05,6.333333333333333,71 days 05:31:56.185000,python
1667,Anaiz,207,2.7504021964951108e-05,17.25,20 days 17:16:56.436000,python
1668,Anakyn,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1669,Analaya,7,9.300876992978635e-07,0.5833333333333334,0 days 23:47:14.331000,python
1670,Analayah,6,7.972180279695973e-07,0.5,0 days 00:03:40.804000,python
1671,Analea,7,9.300876992978635e-07,0.5833333333333334,40 days 19:05:16.017000,python
1672,Analei,7,9.300876992978635e-07,0.5833333333333334,90 days 00:29:45.997000,python
1673,Analeia,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:10.496000,python
1674,Analeiah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1675,Analeigh,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1676,Analeigha,4,5.314786853130648e-07,0.3333333333333333,20 days 23:12:58.515000,python
1677,Analeiya,4,5.314786853130648e-07,0.3333333333333333,0 days 00:03:58.594000,python
1678,Analena,16,2.1259147412522594e-06,1.3333333333333333,111 days 08:15:30.270000,python
1679,Analeya,224,2.9762806377531633e-05,18.666666666666668,63 days 15:54:58.562000,python
1680,Analia,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:07.219000,python
1681,Analiah,5,6.643483566413311e-07,0.4166666666666667,0 days 00:03:44.953000,python
1682,Analicia,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1683,Analie,64,8.503658965009038e-06,5.333333333333333,23 days 01:55:56.068000,python
1684,Analiese,3,3.9860901398479863e-07,0.25,109 days 14:47:04.402000,python
1685,Analina,20,2.6573934265653244e-06,1.6666666666666667,8 days 17:31:25.889000,python
1686,Analise,7,9.300876992978635e-07,0.5833333333333334,0 days 00:06:35.658000,python
1687,Analisia,3,3.9860901398479863e-07,0.25,0 days 00:03:03.086000,python
1688,Analisse,12,1.5944360559391945e-06,1.0,81 days 22:57:00.097000,python
1689,Analiya,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1690,Analiz,20,2.6573934265653244e-06,1.6666666666666667,278 days 22:08:02.969000,python
1691,Analucia,25,3.3217417832066552e-06,2.0833333333333335,238 days 07:36:50.344000,python
1692,Analuisa,14,1.860175398595727e-06,1.1666666666666667,33 days 12:04:37.993000,python
1693,Analy,560,7.440701594382908e-05,46.666666666666664,59 days 08:24:40.928000,python
1694,Analyah,17,2.2587844125805255e-06,1.4166666666666667,243 days 13:18:19.312000,python
1695,Analyn,41,5.447656524458915e-06,3.4166666666666665,29 days 13:21:18.115000,python
1696,Analynn,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1697,Analysa,20,2.6573934265653244e-06,1.6666666666666667,2 days 01:03:15.504000,python
1698,Analyse,32,4.251829482504519e-06,2.6666666666666665,15 days 15:17:37.325000,python
1699,Anam,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:22.174000,python
1700,Anami,4,5.314786853130648e-07,0.3333333333333333,0 days 00:03:22.907000,python
1701,Anand,636,8.450511096477732e-05,53.0,169 days 00:29:54.383000,python
1702,Ananda,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1703,Ananias,53,7.042092580398109e-06,4.416666666666667,63 days 21:42:04.600000,python
1704,Anant,598,7.945606345430319e-05,49.833333333333336,137 days 21:36:39.086000,python
1705,Ananya,13,1.7273057272674607e-06,1.0833333333333333,93 days 03:47:11.600000,python
1706,Anapaula,2,2.657393426565324e-07,0.16666666666666666,0 days 00:07:22.946000,python
1707,Anara,97,1.2888358118841823e-05,8.083333333333334,103 days 05:38:09.105000,python
1708,Anarah,12,1.5944360559391945e-06,1.0,148 days 23:21:01.576000,python
1709,Anareidy,5,6.643483566413311e-07,0.4166666666666667,0 days 00:06:41.513000,python
1710,Anari,120,1.5944360559391946e-05,10.0,43 days 14:08:56.503000,python
1711,Anaria,8,1.0629573706261297e-06,0.6666666666666666,0 days 15:24:49.384000,python
1712,Anarose,8,1.0629573706261297e-06,0.6666666666666666,72 days 20:32:43.723000,python
1713,Anas,2,2.657393426565324e-07,0.16666666666666666,31 days 21:09:06.059000,python
1714,Anasia,3,3.9860901398479863e-07,0.25,168 days 06:07:34.437000,python
1715,Anasophia,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1716,Anass,4,5.314786853130648e-07,0.3333333333333333,0 days 00:06:31.971000,python
1717,Anastacia,92,1.2224009762200492e-05,7.666666666666667,29 days 19:18:43.209000,python
1718,Anastacio,137,1.820314497197247e-05,11.416666666666666,201 days 20:27:10.255000,python
1719,Anastaisa,3,3.9860901398479863e-07,0.25,251 days 00:56:16.765000,python
1720,Anastasia,11,1.4615663846109284e-06,0.9166666666666666,3 days 07:25:16.753000,python
1721,Anastasija,11,1.4615663846109284e-06,0.9166666666666666,0 days 01:15:54.863000,python
1722,Anastasio,8,1.0629573706261297e-06,0.6666666666666666,0 days 00:04:33.424000,python
1723,Anastasios,13,1.7273057272674607e-06,1.0833333333333333,149 days 16:32:11.274000,python
1724,Anastassia,17,2.2587844125805255e-06,1.4166666666666667,239 days 04:27:32.923000,python
1725,Anastaysia,8,1.0629573706261297e-06,0.6666666666666666,0 days 01:03:01.147000,python
1726,Anastazia,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1727,Anastazja,4,5.314786853130648e-07,0.3333333333333333,2 days 18:24:12.195000,python
1728,Anastyn,17,2.2587844125805255e-06,1.4166666666666667,40 days 04:28:34.061000,python
1729,Anatolii,33,4.384699153832785e-06,2.75,20 days 07:32:16.955000,python
1730,Anatoliy,41,5.447656524458915e-06,3.4166666666666665,271 days 13:55:45.887000,python
1731,Anav,12,1.5944360559391945e-06,1.0,188 days 18:47:27.993000,python
1732,Anavah,7,9.300876992978635e-07,0.5833333333333334,0 days 21:54:19.253000,python
1733,Anaveah,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1734,Anavi,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1735,Anay,4,5.314786853130648e-07,0.3333333333333333,0 days 00:22:51.370000,python
1736,Anayah,107,1.4217054832124485e-05,8.916666666666666,188 days 23:36:44.515000,python
1737,Anayansi,9,1.1958270419543959e-06,0.75,178 days 06:39:00.521000,python
1738,Anayi,3,3.9860901398479863e-07,0.25,0 days 00:00:31.287000,python
1739,Anayka,2,2.657393426565324e-07,0.16666666666666666,247 days 22:30:25.745000,python
1740,Anayla,22,2.9231327692218568e-06,1.8333333333333333,0 days 23:20:11.524000,python
1741,Anayra,12,1.5944360559391945e-06,1.0,137 days 16:03:16.975000,python
1742,Anaysha,12,1.5944360559391945e-06,1.0,0 days 00:15:32.333000,python
1743,Anberlin,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:21.083000,python
1744,Ancizar,18,2.3916540839087917e-06,1.5,0 days 00:16:19.917000,python
1745,Ancor,27,3.587481125863188e-06,2.25,104 days 02:37:19.434000,python
1746,Andde,25,3.3217417832066552e-06,2.0833333333333335,0 days 00:08:14.224000,python
1747,Andee,22,2.9231327692218568e-06,1.8333333333333333,37 days 17:18:59.213000,python
1748,Andeka,31,4.118959811176253e-06,2.5833333333333335,202 days 08:44:28.652000,python
1749,Andel,15,1.9930450699239932e-06,1.25,20 days 11:50:33.095000,python
1750,Andelyn,2337,0.00031051642189415817,194.75,28 days 04:07:58.498000,python
1751,Anden,8,1.0629573706261297e-06,0.6666666666666666,1 days 22:35:17.987000,python
1752,Ander,565,7.50713643004704e-05,47.083333333333336,183 days 16:37:23.086000,python
1753,Anders,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1754,Andersen,57,7.573571265711174e-06,4.75,16 days 21:28:33.058000,python
1755,Andersson,181,2.4049410510416184e-05,15.083333333333334,15 days 07:06:52.939000,python
1756,Andersyn,665,8.835833143329704e-05,55.416666666666664,155 days 08:59:12.688000,python
1757,Andi,12,1.5944360559391945e-06,1.0,5 days 13:46:12.173000,python
1758,Andilyn,9,1.1958270419543959e-06,0.75,183 days 10:27:35.072000,python
1759,Andima,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:39:30.797000,python
1760,Andoitz,198,2.6308194922996712e-05,16.5,28 days 18:49:51.911000,python
1761,Andon,6,7.972180279695973e-07,0.5,254 days 06:19:44.820000,python
1762,Andoni,4,5.314786853130648e-07,0.3333333333333333,229 days 04:49:59.737000,python
1763,Andony,49,6.510613895085045e-06,4.083333333333333,0 days 01:11:28.862000,python
1764,Andra,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1765,Andrae,4,5.314786853130648e-07,0.3333333333333333,0 days 00:12:42.454000,python
1766,Andranik,313,4.158820712574733e-05,26.083333333333332,19 days 00:39:39.488000,python
1767,Andras,24,3.188872111878389e-06,2.0,221 days 00:33:14.378000,python
1768,Andre,2,2.657393426565324e-07,0.16666666666666666,0 days 00:00:34.860000,python
1769,Andrea,55,7.307831923054642e-06,4.583333333333333,67 days 08:52:28.677000,python
1770,Andreas,11,1.4615663846109284e-06,0.9166666666666666,2 days 08:40:40.058000,python
1771,Andree,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1772,Andreea,16,2.1259147412522594e-06,1.3333333333333333,258 days 07:39:30.832000,python
1773,Andrei,24,3.188872111878389e-06,2.0,90 days 06:19:14.562000,python
1774,Andreina,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:04.484000,python
1775,Andrejs,61,8.10504995102424e-06,5.083333333333333,16 days 06:46:13.896000,python
1776,Andrel,6,7.972180279695973e-07,0.5,0 days 00:01:48.107000,python
1777,Andressa,13,1.7273057272674607e-06,1.0833333333333333,0 days 03:38:15.509000,python
1778,Andretti,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1779,Andrew,250,3.321741783206655e-05,20.833333333333332,265 days 23:26:52.679000,python
1780,Andrews,3,3.9860901398479863e-07,0.25,0 days 00:01:17.822000,python
1781,Andrey,10,1.3286967132826622e-06,0.8333333333333334,0 days 00:03:42.095000,python
1782,Andrez,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1783,Andri,9,1.1958270419543959e-06,0.75,6 days 23:30:05.952000,python
1784,Andria,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1785,Andrian,31,4.118959811176253e-06,2.5833333333333335,232 days 16:14:08.026000,python
1786,Andriana,29,3.85322046851972e-06,2.4166666666666665,148 days 01:16:30.166000,python
1787,Andriel,7,9.300876992978635e-07,0.5833333333333334,0 days 00:14:54.931000,python
1788,Andrina,51,6.776353237741577e-06,4.25,21 days 15:26:13.124000,python
1789,Andris,98,1.302122779017009e-05,8.166666666666666,195 days 10:16:09.772000,python
1790,Andriu,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1791,Andriy,50,6.6434835664133105e-06,4.166666666666667,55 days 05:52:54.288000,python
1792,Andromeda,9,1.1958270419543959e-06,0.75,0 days 00:06:19.313000,python
1793,Andru,244,3.242019980409696e-05,20.333333333333332,313 days 03:59:31.327000,python
1794,Andry,12,1.5944360559391945e-06,1.0,61 days 15:05:50.114000,python
1795,Andrzej,5,6.643483566413311e-07,0.4166666666666667,81 days 22:44:56.568000,python
1796,Anduin,3,3.9860901398479863e-07,0.25,0 days 00:00:27.793000,python
1797,Andy,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:02:39.955000,python
1798,Andyn,9,1.1958270419543959e-06,0.75,0 days 00:08:58.661000,python
1799,Aneeka,38,5.0490475104741166e-06,3.1666666666666665,80 days 05:44:18.208000,python
1800,Aneesa,721,9.579903302767994e-05,60.083333333333336,50 days 02:31:54.816000,python
1801,Aneesh,4,5.314786853130648e-07,0.3333333333333333,217 days 14:33:58.118000,python
1802,Aneira,4,5.314786853130648e-07,0.3333333333333333,0 days 00:03:34.562000,python
1803,Aneisha,7,9.300876992978635e-07,0.5833333333333334,0 days 00:12:01.232000,python
1804,Anela,20,2.6573934265653244e-06,1.6666666666666667,0 days 00:06:49.079000,python
1805,Anele,2,2.657393426565324e-07,0.16666666666666666,0 days 13:11:18.590000,python
1806,Aneles,87,1.155966140555916e-05,7.25,117 days 05:13:52.454000,python
1807,Aneli,123,1.6342969573376746e-05,10.25,32 days 11:39:41.415000,python
1808,Anelia,4,5.314786853130648e-07,0.3333333333333333,0 days 00:01:43.796000,python
1809,Anelle,32,4.251829482504519e-06,2.6666666666666665,3 days 00:33:56.578000,python
1810,Anelys,7,9.300876992978635e-07,0.5833333333333334,4 days 19:23:56.004000,python
1811,Aner,1398,0.00018575180051691616,116.5,249 days 23:13:56.141000,python
1812,Anes,78,1.0363834363604765e-05,6.5,146 days 05:40:18.077000,python
1813,Anesio,33,4.384699153832785e-06,2.75,262 days 15:45:58.826000,python
1814,Anessa,4,5.314786853130648e-07,0.3333333333333333,2 days 13:35:56.737000,python
1815,Anevay,1,1.328696713282662e-07,0.08333333333333333,0 days 00:00:00,python
1816,Aneya,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:57:50.562000,python
1817,Anezka,47,6.244874552428512e-06,3.9166666666666665,33 days 17:56:07.843000,python
1818,Anfal,6,7.972180279695973e-07,0.5,0 days 00:10:27.099000,python
1819,Anfernee,15,1.9930450699239932e-06,1.25,0 days 00:13:43.256000,python
1820,Angad,32,4.251829482504519e-06,2.6666666666666665,116 days 03:09:41.215000,python
1821,Angel,62,8.237919622352506e-06,5.166666666666667,87 days 01:41:21.067000,python
1822,Angela,3,3.9860901398479863e-07,0.25,0 days 00:12:01.954000,python
1823,Angelee,8,1.0629573706261297e-06,0.6666666666666666,0 days 00:05:21.206000,python
1824,Angeles,16,2.1259147412522594e-06,1.3333333333333333,70 days 19:43:10.089000,python
1825,Angeli,48,6.377744223756778e-06,4.0,8 days 06:43:55.462000,python
1826,Angelic,687,9.12814642025189e-05,57.25,6 days 16:55:55.138000,python
1827,Angelico,6,7.972180279695973e-07,0.5,52 days 18:47:54.252000,python
1828,Angelie,20,2.6573934265653244e-06,1.6666666666666667,0 days 00:11:30.729000,python
1829,Angelika,8,1.0629573706261297e-06,0.6666666666666666,40 days 10:06:13.564000,python
1830,Angeliki,9,1.1958270419543959e-06,0.75,15 days 22:20:47.830000,python
1831,Angelin,1086,0.00014429646306249712,90.5,119 days 11:26:18.057000,python
1832,Angeline,11,1.4615663846109284e-06,0.9166666666666666,0 days 00:47:23.524000,python
1833,Angelino,11,1.4615663846109284e-06,0.9166666666666666,164 days 23:34:31.945000,python
1834,Angelique,4,5.314786853130648e-07,0.3333333333333333,114 days 03:29:52.322000,python
1835,Angelisa,6,7.972180279695973e-07,0.5,12 days 14:58:30.366000,python
1836,Angelise,15,1.9930450699239932e-06,1.25,4 days 08:47:21.267000,python
1837,Angelita,2,2.657393426565324e-07,0.16666666666666666,16 days 15:08:14.584000,python
1838,Angelito,115,1.5280012202750616e-05,9.583333333333334,105 days 03:05:01.924000,python
1839,Angeliz,25,3.3217417832066552e-06,2.0833333333333335,3 days 18:32:01.975000,python
1840,Angella,74,9.8323556782917e-06,6.166666666666667,9 days 14:01:15.978000,python
1841,Angello,126,1.6741578587361542e-05,10.5,228 days 22:13:26.236000,python
1842,Angelus,2,2.657393426565324e-07,0.16666666666666666,0 days 00:01:52.687000,python
1843,Angelyn,14,1.860175398595727e-06,1.1666666666666667,1 days 18:12:24.946000,python
1844,Angelyna,4,5.314786853130648e-07,0.3333333333333333,0 days 01:06:46.178000,python
1845,Angelyne,4,5.314786853130648e-07,0.3333333333333333,241 days 21:45:38.674000,python
1846,Angelynn,25,3.3217417832066552e-06,2.0833333333333335,0 days 11:19:27.813000,python
1847,Angelys,6,7.972180279695973e-07,0.5,0 days 00:02:46.261000,python
1848,Anguel,3,3.9860901398479863e-07,0.25,54 days 17:52:21.100000,python
1849,Angus,3,3.9860901398479863e-07,0.25,51 days 07:47:13.186000,python
1850,Angy,13,1.7273057272674607e-06,1.0833333333333333,18 days 04:36:08.802000,python
1851,Anh,2,2.657393426565324e-07,0.16666666666666666,0 days 00:02:59.106000,python
1852,Anhar,10,1.3286967132826622e-06,0.8333333333333334,1 days 10:00:45.351000,python
1853,Ani,4,5.314786853130648e-07,0.3333333333333333,0 days 00:03:47.163000,python
1854,Aniano,3,3.9860901398479863e-07,0.25,0 days 00:05:04.531000,python
1855,Anias,13,1.7273057272674607e-06,1.0833333333333333,0 days 02:00:52.236000,python
1856,Aniaya,55,7.307831923054642e-06,4.583333333333333,241 days 11:07:20.263000,python
